fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
cameras:54,cameras,suporte,-22.9057461,-43.1774074,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""eae1f0b1-e6ec-4d2a-9e21-8f180b57a52e"", ""id_trecho"": ""70205"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,54,2026-05-24T15:59:59+00:00
cameras:55,cameras,suporte,-22.9085476,-43.1775555,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""dc73e706-f437-4362-9648-c50204912993"", ""id_trecho"": ""63063"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,55,2026-05-24T15:59:59+00:00
cameras:56,cameras,suporte,-22.9119789,-43.1783644,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""51340f32-ae27-46b5-a6c7-26692d745d60"", ""id_trecho"": ""51560"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,56,2026-05-24T15:59:59+00:00
cameras:57,cameras,suporte,-22.9086042,-43.176745,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""30d2d89f-3664-489a-87e3-4a75bd546018"", ""id_trecho"": ""64697"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,57,2026-05-24T15:59:59+00:00
cameras:58,cameras,suporte,-22.9041283,-43.1851902,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""f404f45d-01e5-41e6-8bc7-8f1d2e1dccad"", ""id_trecho"": ""72336"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,58,2026-05-24T15:59:59+00:00
cameras:59,cameras,suporte,-22.9025583,-43.183314,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""d2ba569f-a1b5-44ef-90db-2185b7a3416b"", ""id_trecho"": ""72075"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,59,2026-05-24T15:59:59+00:00
cameras:60,cameras,suporte,-22.9116815,-43.1953212,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""b872f464-76d1-436b-99b5-77750b24a89f"", ""id_trecho"": ""102112"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,60,2026-05-24T15:59:59+00:00
cameras:61,cameras,suporte,-22.903696,-43.1782456,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""db75c55d-2196-42d0-a5cd-96cb12bf8755"", ""id_trecho"": ""70197"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,61,2026-05-24T15:59:59+00:00
cameras:62,cameras,suporte,-22.9060924,-43.1825501,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""5b4a8089-2a62-4476-b7df-2c1fb594a089"", ""id_trecho"": ""51678"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,62,2026-05-24T15:59:59+00:00
cameras:63,cameras,suporte,-22.9079467,-43.1942383,ok,20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,camera,,"{""id_ponto"": ""adbcac57-d665-496c-a5a2-d287e01499ef"", ""id_trecho"": ""179598"", ""nome_area_fm"": ""Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia""}",cameras_areas_fm.csv,63,2026-05-24T15:59:59+00:00
