area_fm_id,dia_semana,hora,qtd
12,Domingo,19,3
12,Domingo,20,9
12,Domingo,21,2
12,Domingo,22,5
12,Domingo,23,4
12,Quarta,0,3
12,Quarta,5,1
12,Quarta,6,1
12,Quarta,7,3
12,Quarta,8,3
12,Quarta,9,1
12,Quarta,10,2
12,Quarta,12,2
12,Quarta,13,2
12,Quarta,14,3
12,Quarta,15,6
12,Quarta,16,6
12,Quarta,17,5
12,Quarta,18,7
12,Quarta,19,15
12,Quarta,20,5
12,Quarta,21,3
12,Quarta,22,7
12,Quarta,23,5
12,Quinta,0,2
12,Quinta,2,2
12,Quinta,3,2
12,Quinta,4,2
12,Quinta,6,3
12,Quinta,7,1
12,Quinta,8,1
12,Quinta,9,3
12,Quinta,10,2
12,Quinta,11,3
12,Quinta,12,3
12,Quinta,13,1
12,Quinta,14,2
12,Quinta,15,2
12,Quinta,18,5
12,Quinta,19,3
12,Quinta,20,9
12,Quinta,21,9
12,Quinta,22,3
12,Quinta,23,3
12,Segunda,1,2
12,Segunda,4,1
12,Segunda,5,1
12,Segunda,6,1
12,Segunda,7,2
12,Segunda,8,3
12,Segunda,9,1
12,Segunda,10,2
12,Segunda,12,5
12,Segunda,14,3
12,Segunda,15,2
12,Segunda,16,4
12,Segunda,17,5
12,Segunda,19,7
12,Segunda,20,3
12,Segunda,21,2
12,Segunda,22,4
12,Segunda,23,4
12,Sexta,0,1
12,Sexta,1,2
12,Sexta,2,2
12,Sexta,5,3
12,Sexta,6,2
12,Sexta,8,1
12,Sexta,10,1
12,Sexta,11,4
12,Sexta,12,6
12,Sexta,13,4
12,Sexta,14,1
12,Sexta,15,2
12,Sexta,16,3
12,Sexta,17,3
12,Sexta,18,7
12,Sexta,19,6
12,Sexta,20,6
12,Sexta,21,5
12,Sexta,22,3
12,Sexta,23,6
12,Sábado,0,1
12,Sábado,1,3
12,Sábado,2,2
12,Sábado,3,2
12,Sábado,8,2
12,Sábado,9,2
12,Sábado,10,2
12,Sábado,12,3
12,Sábado,13,1
12,Sábado,14,5
12,Sábado,15,5
12,Sábado,16,5
12,Sábado,17,5
12,Sábado,18,4
12,Sábado,19,4
12,Sábado,20,11
12,Sábado,21,6
12,Sábado,22,5
12,Sábado,23,3
12,Terça,0,2
12,Terça,4,1
12,Terça,5,1
12,Terça,6,3
12,Terça,7,1
12,Terça,8,3
12,Terça,10,5
12,Terça,11,3
12,Terça,12,2
12,Terça,14,5
12,Terça,15,4
12,Terça,16,2
12,Terça,17,3
12,Terça,18,6
12,Terça,19,7
12,Terça,20,3
12,Terça,21,7
12,Terça,22,5
12,Terça,23,4
14,Domingo,0,11
14,Domingo,1,8
14,Domingo,2,10
14,Domingo,3,8
14,Domingo,4,7
14,Domingo,5,3
14,Domingo,6,1
14,Domingo,7,5
14,Domingo,8,4
14,Domingo,9,1
14,Domingo,10,1
14,Domingo,11,3
14,Domingo,12,3
14,Domingo,13,8
14,Domingo,14,1
14,Domingo,15,5
14,Domingo,16,3
14,Domingo,17,7
14,Domingo,18,10
14,Domingo,19,11
14,Domingo,20,14
14,Domingo,21,25
14,Domingo,22,17
14,Domingo,23,16
14,Quarta,0,3
14,Quarta,1,7
14,Quarta,2,4
14,Quarta,3,2
14,Quarta,4,1
14,Quarta,5,4
14,Quarta,6,7
14,Quarta,7,6
14,Quarta,8,1
14,Quarta,9,1
14,Quarta,10,8
14,Quarta,11,4
14,Quarta,12,6
14,Quarta,13,10
14,Quarta,14,3
14,Quarta,15,5
14,Quarta,16,3
14,Quarta,17,6
14,Quarta,18,5
14,Quarta,19,14
14,Quarta,20,11
14,Quarta,21,16
14,Quarta,22,21
14,Quarta,23,7
14,Quinta,0,4
14,Quinta,1,9
14,Quinta,2,5
14,Quinta,3,3
14,Quinta,4,1
14,Quinta,5,7
14,Quinta,6,2
14,Quinta,7,2
14,Quinta,8,4
14,Quinta,9,4
14,Quinta,10,3
14,Quinta,11,2
14,Quinta,12,3
14,Quinta,13,4
14,Quinta,14,6
14,Quinta,15,7
14,Quinta,16,6
14,Quinta,17,5
14,Quinta,18,14
14,Quinta,19,9
14,Quinta,20,11
14,Quinta,21,15
14,Quinta,22,8
14,Quinta,23,16
14,Segunda,0,9
14,Segunda,1,4
14,Segunda,2,6
14,Segunda,3,1
14,Segunda,4,3
14,Segunda,5,6
14,Segunda,6,8
14,Segunda,7,4
14,Segunda,8,1
14,Segunda,9,3
14,Segunda,10,2
14,Segunda,11,4
14,Segunda,12,3
14,Segunda,13,3
14,Segunda,14,6
14,Segunda,15,4
14,Segunda,16,5
14,Segunda,17,5
14,Segunda,18,9
14,Segunda,19,14
14,Segunda,20,14
14,Segunda,21,10
14,Segunda,22,10
14,Segunda,23,7
14,Sexta,0,10
14,Sexta,1,10
14,Sexta,2,7
14,Sexta,3,4
14,Sexta,4,4
14,Sexta,5,6
14,Sexta,6,7
14,Sexta,7,2
14,Sexta,8,4
14,Sexta,9,2
14,Sexta,10,6
14,Sexta,11,7
14,Sexta,12,1
14,Sexta,13,5
14,Sexta,14,5
14,Sexta,15,3
14,Sexta,16,4
14,Sexta,17,2
14,Sexta,18,9
14,Sexta,19,12
14,Sexta,20,8
14,Sexta,21,12
14,Sexta,22,13
14,Sexta,23,18
14,Sábado,0,13
14,Sábado,1,14
14,Sábado,2,9
14,Sábado,3,5
14,Sábado,4,8
14,Sábado,5,6
14,Sábado,6,1
14,Sábado,7,2
14,Sábado,8,3
14,Sábado,9,1
14,Sábado,10,4
14,Sábado,11,3
14,Sábado,12,3
14,Sábado,13,2
14,Sábado,14,7
14,Sábado,15,2
14,Sábado,16,7
14,Sábado,17,2
14,Sábado,18,7
14,Sábado,19,10
14,Sábado,20,14
14,Sábado,21,17
14,Sábado,22,17
14,Sábado,23,15
14,Terça,0,4
14,Terça,1,3
14,Terça,2,7
14,Terça,3,3
14,Terça,4,2
14,Terça,5,2
14,Terça,6,8
14,Terça,7,4
14,Terça,8,8
14,Terça,9,3
14,Terça,10,4
14,Terça,11,4
14,Terça,12,5
14,Terça,13,6
14,Terça,14,7
14,Terça,15,4
14,Terça,16,3
14,Terça,17,4
14,Terça,18,13
14,Terça,19,15
14,Terça,20,18
14,Terça,21,25
14,Terça,22,20
14,Terça,23,5
19,Domingo,0,9
19,Domingo,1,5
19,Domingo,2,7
19,Domingo,3,4
19,Domingo,4,2
19,Domingo,5,4
19,Domingo,6,6
19,Domingo,7,6
19,Domingo,8,5
19,Domingo,9,2
19,Domingo,10,3
19,Domingo,11,6
19,Domingo,12,4
19,Domingo,13,5
19,Domingo,14,14
19,Domingo,15,4
19,Domingo,16,8
19,Domingo,17,8
19,Domingo,18,8
19,Domingo,19,31
19,Domingo,20,31
19,Domingo,21,21
19,Domingo,22,7
19,Domingo,23,6
19,Quarta,0,6
19,Quarta,1,5
19,Quarta,2,3
19,Quarta,3,1
19,Quarta,4,2
19,Quarta,5,5
19,Quarta,6,5
19,Quarta,7,11
19,Quarta,8,6
19,Quarta,9,8
19,Quarta,10,7
19,Quarta,11,3
19,Quarta,12,11
19,Quarta,13,16
19,Quarta,14,8
19,Quarta,15,8
19,Quarta,16,8
19,Quarta,17,10
19,Quarta,18,26
19,Quarta,19,23
19,Quarta,20,24
19,Quarta,21,24
19,Quarta,22,15
19,Quarta,23,7
19,Quinta,0,9
19,Quinta,1,10
19,Quinta,2,5
19,Quinta,3,3
19,Quinta,4,2
19,Quinta,5,10
19,Quinta,6,6
19,Quinta,7,9
19,Quinta,8,9
19,Quinta,9,7
19,Quinta,10,5
19,Quinta,11,6
19,Quinta,12,10
19,Quinta,13,7
19,Quinta,14,9
19,Quinta,15,7
19,Quinta,16,11
19,Quinta,17,7
19,Quinta,18,21
19,Quinta,19,14
19,Quinta,20,16
19,Quinta,21,15
19,Quinta,22,10
19,Quinta,23,7
19,Segunda,0,7
19,Segunda,1,9
19,Segunda,2,4
19,Segunda,3,6
19,Segunda,4,1
19,Segunda,5,9
19,Segunda,6,14
19,Segunda,7,9
19,Segunda,8,4
19,Segunda,9,4
19,Segunda,10,4
19,Segunda,11,8
19,Segunda,12,13
19,Segunda,13,8
19,Segunda,14,8
19,Segunda,15,6
19,Segunda,16,6
19,Segunda,17,11
19,Segunda,18,16
19,Segunda,19,14
19,Segunda,20,13
19,Segunda,21,16
19,Segunda,22,10
19,Segunda,23,9
19,Sexta,0,8
19,Sexta,1,4
19,Sexta,2,4
19,Sexta,3,4
19,Sexta,4,6
19,Sexta,5,4
19,Sexta,6,11
19,Sexta,7,11
19,Sexta,8,15
19,Sexta,9,1
19,Sexta,10,5
19,Sexta,11,3
19,Sexta,12,13
19,Sexta,13,12
19,Sexta,14,9
19,Sexta,15,5
19,Sexta,16,5
19,Sexta,17,5
19,Sexta,18,12
19,Sexta,19,16
19,Sexta,20,20
19,Sexta,21,12
19,Sexta,22,9
19,Sexta,23,15
19,Sábado,0,6
19,Sábado,1,3
19,Sábado,2,4
19,Sábado,3,6
19,Sábado,4,6
19,Sábado,5,4
19,Sábado,6,4
19,Sábado,7,2
19,Sábado,8,6
19,Sábado,9,1
19,Sábado,10,4
19,Sábado,11,6
19,Sábado,12,9
19,Sábado,13,6
19,Sábado,14,9
19,Sábado,15,5
19,Sábado,16,5
19,Sábado,17,9
19,Sábado,18,7
19,Sábado,19,22
19,Sábado,20,15
19,Sábado,21,11
19,Sábado,22,17
19,Sábado,23,18
19,Terça,0,6
19,Terça,1,6
19,Terça,2,2
19,Terça,3,1
19,Terça,4,2
19,Terça,5,7
19,Terça,6,13
19,Terça,7,7
19,Terça,8,4
19,Terça,9,6
19,Terça,10,5
19,Terça,11,6
19,Terça,12,10
19,Terça,13,14
19,Terça,14,5
19,Terça,15,13
19,Terça,16,7
19,Terça,17,7
19,Terça,18,22
19,Terça,19,27
19,Terça,20,32
19,Terça,21,17
19,Terça,22,13
19,Terça,23,9
20,Domingo,0,27
20,Domingo,1,26
20,Domingo,2,22
20,Domingo,3,25
20,Domingo,4,26
20,Domingo,5,47
20,Domingo,6,48
20,Domingo,7,24
20,Domingo,8,10
20,Domingo,9,4
20,Domingo,10,11
20,Domingo,11,8
20,Domingo,12,13
20,Domingo,13,14
20,Domingo,14,8
20,Domingo,15,12
20,Domingo,16,13
20,Domingo,17,16
20,Domingo,18,28
20,Domingo,19,40
20,Domingo,20,44
20,Domingo,21,45
20,Domingo,22,41
20,Domingo,23,42
20,Quarta,0,12
20,Quarta,1,6
20,Quarta,2,10
20,Quarta,3,6
20,Quarta,4,17
20,Quarta,5,20
20,Quarta,6,13
20,Quarta,7,16
20,Quarta,8,6
20,Quarta,9,9
20,Quarta,10,14
20,Quarta,11,23
20,Quarta,12,13
20,Quarta,13,16
20,Quarta,14,19
20,Quarta,15,19
20,Quarta,16,25
20,Quarta,17,26
20,Quarta,18,27
20,Quarta,19,37
20,Quarta,20,41
20,Quarta,21,31
20,Quarta,22,28
20,Quarta,23,31
20,Quinta,0,16
20,Quinta,1,7
20,Quinta,2,6
20,Quinta,3,2
20,Quinta,4,7
20,Quinta,5,28
20,Quinta,6,26
20,Quinta,7,14
20,Quinta,8,14
20,Quinta,9,17
20,Quinta,10,8
20,Quinta,11,20
20,Quinta,12,20
20,Quinta,13,21
20,Quinta,14,16
20,Quinta,15,10
20,Quinta,16,21
20,Quinta,17,24
